,row1,row2
1980-07-06,27.55,Buy
1980-07-07,27.05,Buy
1980-07-08,27.01,Buy
1980-07-09,27.36,Buy
1980-07-10,27.32,Buy
1980-07-11,27.52,Buy
1980-07-12,27.55,Buy
1980-07-13,27.29,Buy
1980-07-14,27.21,Buy
1980-07-15,27.72,Buy
1980-07-16,27.56,Buy
1980-07-17,27.56,Buy
1980-07-18,27.52,Buy
1980-07-19,27.54,Buy
1980-07-20,27.6,Buy
1980-07-21,NA,NA
1980-07-22,NA,NA
1980-07-23,NA,NA
1980-07-24,NA,NA
1980-07-25,NA,NA
1980-07-26,NA,NA
1980-07-27,NA,NA
1980-07-28,NA,NA
1980-07-29,28.66,Buy
1980-07-30,28.7,Buy
1980-07-31,28.65,Buy
1980-08-01,31.0,Buy
1980-08-02,32.11,Buy
1980-08-03,32.62,Buy
1980-08-04,33.97,Buy
1980-08-05,31.95,Buy
1980-08-06,32.92,Buy
1980-08-07,33.01,Buy
1980-08-08,34.01,Buy
1980-08-09,34.44,Buy
1980-08-10,34.41,Buy
1980-08-11,34.89,Buy
1980-08-12,34.47,Buy
1980-08-13,32.45,Buy
1980-08-14,NA,NA
1980-08-15,NA,NA
1980-08-16,NA,NA
1980-08-17,NA,NA
1980-08-18,NA,NA
1980-08-19,NA,NA
1980-08-20,NA,NA
1980-08-21,NA,NA
1980-08-22,NA,NA
1980-08-23,NA,NA
1980-08-24,NA,NA
1980-08-25,NA,NA
1980-08-26,NA,NA
1980-08-27,NA,NA
1980-08-28,NA,NA
1980-08-29,NA,NA
1980-08-30,30.55,Sell
1980-08-31,30.69,Sell
1980-09-01,30.85,Sell
1980-09-02,30.85,Sell
1980-09-03,31.12,Sell
1980-09-04,31.12,Sell
1980-09-05,31.37,Sell
1980-09-06,32.39,Sell
1980-09-07,33.18,Buy
1980-09-08,33.06,Buy
1980-09-09,32.41,Buy
1980-09-10,32.4,Buy
1980-09-11,32.88,Buy
1980-09-12,32.95,Buy
1980-09-13,34.0,Buy
1980-09-14,34.48,Buy
1980-09-15,34.79,Buy
1980-09-16,34.59,Buy
1980-09-17,34.58,Buy
1980-09-18,34.58,Buy
1980-09-19,34.51,Buy
1980-09-20,35.04,Buy
1980-09-21,35.01,Buy
1980-09-22,35.17,Buy
1980-09-23,35.05,Buy
1980-09-24,34.77,Buy
1980-09-25,NA,NA
1980-09-26,NA,NA
1980-09-27,NA,NA
1980-09-28,NA,NA
1980-09-29,NA,NA
1980-09-30,NA,NA
1980-10-01,NA,NA
1980-10-02,NA,NA
1980-10-03,NA,NA
1980-10-04,NA,NA
1980-10-05,NA,NA
1980-10-06,NA,NA
1980-10-07,NA,NA
1980-10-08,NA,NA
1980-10-09,NA,NA
1980-10-10,NA,NA
1980-10-11,NA,NA
1980-10-12,NA,NA
1980-10-13,NA,NA
1980-10-14,NA,NA
1980-10-15,NA,NA
1980-10-16,33.41,Sell
1980-10-17,33.06,Sell
1980-10-18,33.41,Sell
1980-10-19,33.44,Sell
1980-10-20,33.82,Sell
1980-10-21,34.24,Sell
1980-10-22,34.1,Sell
1980-10-23,34.03,Sell
1980-10-24,33.47,Sell
1980-10-25,32.24,Sell
1980-10-26,31.78,Sell
1980-10-27,31.82,Sell
1980-10-28,31.23,Sell
1980-10-29,31.57,Sell
1980-10-30,31.31,Sell
1980-10-31,31.4,Sell
1980-11-01,31.67,Sell
1980-11-02,32.01,Sell
1980-11-03,32.8,Sell
1980-11-04,NA,NA
1980-11-05,NA,NA
1980-11-06,NA,NA
1980-11-07,NA,NA
1980-11-08,NA,NA
1980-11-09,NA,NA
1980-11-10,NA,NA
1980-11-11,NA,NA
1980-11-12,NA,NA
1980-11-13,NA,NA
1980-11-14,NA,NA
1980-11-15,NA,NA
1980-11-16,NA,NA
1980-11-17,NA,NA
1980-11-18,NA,NA
1980-11-19,NA,NA
1980-11-20,NA,NA
1980-11-21,NA,NA
1980-11-22,33.14,Buy
1980-11-23,33.33,Buy
1980-11-24,33.07,Buy
1980-11-25,32.79,Buy
1980-11-26,32.86,Buy
1980-11-27,33.05,Buy
1980-11-28,32.64,Buy
1980-11-29,32.46,Sell
1980-11-30,32.32,Sell
1980-12-01,32.49,Sell
1980-12-02,32.25,Sell
1980-12-03,31.0,Sell
1980-12-04,30.46,Sell
1980-12-05,30.5,Sell
1980-12-06,30.46,Sell
1980-12-07,30.4,Sell
1980-12-08,30.64,Sell
1980-12-09,31.57,Sell
1980-12-10,32.18,Sell
1980-12-11,NA,NA
1980-12-12,NA,NA
1980-12-13,NA,NA
1980-12-14,33.85,Buy
1980-12-15,35.0,Buy
1980-12-16,33.97,Buy
1980-12-17,33.28,Buy
1980-12-18,32.7,Buy
1980-12-19,32.87,Buy
1980-12-20,32.87,Buy
1980-12-21,32.97,Buy
1980-12-22,NA,NA
1980-12-23,NA,NA
1980-12-24,NA,NA
1980-12-25,NA,NA
1980-12-26,32.04,Sell
1980-12-27,32.14,Sell
1980-12-28,31.87,Sell
1980-12-29,31.47,Sell
1980-12-30,32.28,Sell
1980-12-31,32.32,Sell
1981-01-01,32.1,Sell
1981-01-02,32.15,Sell
1981-01-03,31.38,Sell
1981-01-04,30.83,Sell
1981-01-05,30.9,Sell
1981-01-06,30.42,Sell
1981-01-07,29.09,Sell
1981-01-08,29.8,Sell
1981-01-09,29.45,Sell
1981-01-10,28.66,Sell
1981-01-11,28.71,Sell
1981-01-12,28.76,Sell
1981-01-13,28.87,Sell
1981-01-14,29.06,Sell
1981-01-15,30.52,Sell
1981-01-16,NA,NA
1981-01-17,NA,NA
1981-01-18,NA,NA
1981-01-19,NA,NA
1981-01-20,NA,NA
1981-01-21,NA,NA
1981-01-22,NA,NA
1981-01-23,NA,NA
1981-01-24,NA,NA
1981-01-25,NA,NA
1981-01-26,NA,NA
1981-01-27,NA,NA
1981-01-28,NA,NA
1981-01-29,NA,NA
1981-01-30,NA,NA
1981-01-31,NA,NA
1981-02-01,NA,NA
1981-02-02,NA,NA
1981-02-03,NA,NA
1981-02-04,NA,NA
1981-02-05,NA,NA
1981-02-06,NA,NA
1981-02-07,NA,NA
1981-02-08,NA,NA
1981-02-09,NA,NA
1981-02-10,NA,NA
1981-02-11,NA,NA
1981-02-12,NA,NA
1981-02-13,30.35,Buy
1981-02-14,30.52,Buy
1981-02-15,30.23,Buy
1981-02-16,30.04,Buy
1981-02-17,29.91,Buy
1981-02-18,30.03,Buy
1981-02-19,29.95,Buy
1981-02-20,30.47,Buy
1981-02-21,30.48,Buy
1981-02-22,30.99,Buy
1981-02-23,31.68,Buy
1981-02-24,31.55,Buy
1981-02-25,31.45,Buy
1981-02-26,31.34,Buy
1981-02-27,30.65,Buy
1981-02-28,30.74,Buy
1981-03-01,30.9,Buy
1981-03-02,31.62,Buy
1981-03-03,32.55,Buy
1981-03-04,32.91,Buy
1981-03-05,32.5,Buy
1981-03-06,32.65,Buy
1981-03-07,32.88,Buy
1981-03-08,33.47,Buy
1981-03-09,33.29,Buy
1981-03-10,32.23,Buy
1981-03-11,32.3,Buy
1981-03-12,32.67,Buy
1981-03-13,NA,NA
1981-03-14,NA,NA
1981-03-15,NA,NA
1981-03-16,NA,NA
1981-03-17,NA,NA
1981-03-18,NA,NA
1981-03-19,NA,NA
1981-03-20,NA,NA
1981-03-21,NA,NA
1981-03-22,30.38,Sell
1981-03-23,30.25,Sell
1981-03-24,30.15,Sell
1981-03-25,30.47,Sell
1981-03-26,30.26,Sell
1981-03-27,30.22,Sell
1981-03-28,30.31,Sell
1981-03-29,30.22,Sell
1981-03-30,30.05,Sell
1981-03-31,29.85,Sell
1981-04-01,29.19,Sell
1981-04-02,29.26,Sell
1981-04-03,29.16,Sell
1981-04-04,29.66,Sell
